obp_algorithm,prp_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,num_batches,distance
FCFS,LGAP,10,3,900,689456,21s-20-30-11.txt,30,20,15,4525.0
RANDOM,LGAP,10,3,900,698532,21s-20-30-11.txt,30,20,14,4260.0
SOP,LGAP,10,3,900,829783,21s-20-30-11.txt,30,20,20,5037.0
G01,LGAP,10,3,900,730882,21s-20-30-11.txt,30,20,13,4148.0
G02,LGAP,10,3,900,755844,21s-20-30-11.txt,30,20,15,4470.0
G03,LGAP,10,3,900,948182,21s-20-30-11.txt,30,20,13,4053.0
FCFS,LGAP,10,3,900,716251,21s-20-30-12.txt,30,20,15,4804.0
RANDOM,LGAP,10,3,900,702908,21s-20-30-12.txt,30,20,14,4583.0
SOP,LGAP,10,3,900,851813,21s-20-30-12.txt,30,20,20,5485.0
G01,LGAP,10,3,900,756045,21s-20-30-12.txt,30,20,14,4567.0
G02,LGAP,10,3,900,793262,21s-20-30-12.txt,30,20,16,4951.0
G03,LGAP,10,3,900,945930,21s-20-30-12.txt,30,20,14,4618.0
FCFS,LGAP,10,3,900,742406,21s-20-30-13.txt,30,20,16,4958.0
RANDOM,LGAP,10,3,900,657550,21s-20-30-13.txt,30,20,13,4414.0
SOP,LGAP,10,3,900,841774,21s-20-30-13.txt,30,20,20,5471.0
G01,LGAP,10,3,900,676870,21s-20-30-13.txt,30,20,12,4188.0
G02,LGAP,10,3,900,742448,21s-20-30-13.txt,30,20,15,4718.0
G03,LGAP,10,3,900,915802,21s-20-30-13.txt,30,20,12,4118.0
FCFS,LGAP,10,3,900,647555,21s-20-30-14.txt,30,20,13,4157.0
RANDOM,LGAP,10,3,900,613638,21s-20-30-14.txt,30,20,12,4043.0
SOP,LGAP,10,3,900,807562,21s-20-30-14.txt,30,20,20,5029.0
G01,LGAP,10,3,900,577708,21s-20-30-14.txt,30,20,10,3754.0
G02,LGAP,10,3,900,667043,21s-20-30-14.txt,30,20,13,4217.0
G03,LGAP,10,3,900,894387,21s-20-30-14.txt,30,20,11,3895.0
FCFS,LGAP,10,3,900,529378,21s-20-30-15.txt,30,20,10,3188.0
RANDOM,LGAP,10,3,900,459213,21s-20-30-15.txt,30,20,9,3102.0
SOP,LGAP,10,3,900,700637,21s-20-30-15.txt,30,20,20,4246.0
G01,LGAP,10,3,900,509373,21s-20-30-15.txt,30,20,9,3002.0
G02,LGAP,10,3,900,539992,21s-20-30-15.txt,30,20,10,3262.0
G03,LGAP,10,3,900,878849,21s-20-30-15.txt,30,20,9,3129.0
FCFS,LGAP,10,3,900,689326,21s-20-30-16.txt,30,20,15,4405.0
RANDOM,LGAP,10,3,900,631069,21s-20-30-16.txt,30,20,12,4006.0
SOP,LGAP,10,3,900,819177,21s-20-30-16.txt,30,20,20,5167.0
G01,LGAP,10,3,900,681534,21s-20-30-16.txt,30,20,12,4050.0
G02,LGAP,10,3,900,744924,21s-20-30-16.txt,30,20,15,4591.0
G03,LGAP,10,3,900,890679,21s-20-30-16.txt,30,20,12,3936.0
FCFS,LGAP,10,3,900,670156,21s-20-30-17.txt,30,20,14,4246.0
RANDOM,LGAP,10,3,900,641217,21s-20-30-17.txt,30,20,13,4111.0
SOP,LGAP,10,3,900,797268,21s-20-30-17.txt,30,20,20,4931.0
G01,LGAP,10,3,900,677332,21s-20-30-17.txt,30,20,13,4000.0
G02,LGAP,10,3,900,735841,21s-20-30-17.txt,30,20,15,4373.0
G03,LGAP,10,3,900,971426,21s-20-30-17.txt,30,20,13,3952.0
FCFS,LGAP,10,3,900,622894,21s-20-30-18.txt,30,20,13,4012.0
RANDOM,LGAP,10,3,900,582823,21s-20-30-18.txt,30,20,12,3963.0
SOP,LGAP,10,3,900,790390,21s-20-30-18.txt,30,20,20,5196.0
G01,LGAP,10,3,900,586137,21s-20-30-18.txt,30,20,10,3541.0
G02,LGAP,10,3,900,683561,21s-20-30-18.txt,30,20,13,4081.0
G03,LGAP,10,3,900,912830,21s-20-30-18.txt,30,20,11,3793.0
FCFS,LGAP,10,3,900,611840,21s-20-30-19.txt,30,20,13,4010.0
RANDOM,LGAP,10,3,900,514348,21s-20-30-19.txt,30,20,10,3541.0
SOP,LGAP,10,3,900,750936,21s-20-30-19.txt,30,20,20,4741.0
G01,LGAP,10,3,900,520282,21s-20-30-19.txt,30,20,10,3486.0
G02,LGAP,10,3,900,623987,21s-20-30-19.txt,30,20,12,3903.0
G03,LGAP,10,3,900,917467,21s-20-30-19.txt,30,20,11,3643.0
FCFS,LGAP,10,3,900,757907,21s-20-30-20.txt,30,20,17,5063.0
RANDOM,LGAP,10,3,900,678621,21s-20-30-20.txt,30,20,15,4739.0
SOP,LGAP,10,3,900,837436,21s-20-30-20.txt,30,20,20,5382.0
G01,LGAP,10,3,900,741662,21s-20-30-20.txt,30,20,15,4768.0
G02,LGAP,10,3,900,788218,21s-20-30-20.txt,30,20,16,4864.0
G03,LGAP,10,3,900,960567,21s-20-30-20.txt,30,20,16,4918.0
FCFS,LGAP,10,3,900,500466,21s-20-30-21.txt,30,20,11,3700.0
RANDOM,LGAP,10,3,900,470187,21s-20-30-21.txt,30,20,10,3490.0
SOP,LGAP,10,3,900,690286,21s-20-30-21.txt,30,20,20,4709.0
G01,LGAP,10,3,900,453550,21s-20-30-21.txt,30,20,9,3257.0
G02,LGAP,10,3,900,545930,21s-20-30-21.txt,30,20,11,3604.0
G03,LGAP,10,3,900,850022,21s-20-30-21.txt,30,20,9,3358.0
FCFS,LGAP,10,3,900,470592,21s-20-30-22.txt,30,20,11,3348.0
RANDOM,LGAP,10,3,900,484698,21s-20-30-22.txt,30,20,10,3189.0
SOP,LGAP,10,3,900,677999,21s-20-30-22.txt,30,20,20,4336.0
G01,LGAP,10,3,900,463345,21s-20-30-22.txt,30,20,9,2992.0
G02,LGAP,10,3,900,495608,21s-20-30-22.txt,30,20,11,3365.0
G03,LGAP,10,3,900,846665,21s-20-30-22.txt,30,20,9,2946.0
FCFS,LGAP,10,3,900,575965,21s-20-30-23.txt,30,20,13,3935.0
RANDOM,LGAP,10,3,900,518069,21s-20-30-23.txt,30,20,11,3643.0
SOP,LGAP,10,3,900,732747,21s-20-30-23.txt,30,20,20,4733.0
G01,LGAP,10,3,900,585282,21s-20-30-23.txt,30,20,11,3662.0
G02,LGAP,10,3,900,631081,21s-20-30-23.txt,30,20,13,3891.0
G03,LGAP,10,3,900,884863,21s-20-30-23.txt,30,20,12,3770.0
FCFS,LGAP,10,3,900,599662,21s-20-30-24.txt,30,20,14,4510.0
RANDOM,LGAP,10,3,900,565627,21s-20-30-24.txt,30,20,13,4331.0
SOP,LGAP,10,3,900,731638,21s-20-30-24.txt,30,20,20,5402.0
G01,LGAP,10,3,900,606679,21s-20-30-24.txt,30,20,12,4180.0
G02,LGAP,10,3,900,671786,21s-20-30-24.txt,30,20,15,4780.0
G03,LGAP,10,3,900,907036,21s-20-30-24.txt,30,20,13,4428.0
FCFS,LGAP,10,3,900,545578,21s-20-30-25.txt,30,20,12,3675.0
RANDOM,LGAP,10,3,900,468652,21s-20-30-25.txt,30,20,10,3329.0
SOP,LGAP,10,3,900,678591,21s-20-30-25.txt,30,20,20,4697.0
G01,LGAP,10,3,900,522589,21s-20-30-25.txt,30,20,10,3401.0
G02,LGAP,10,3,900,591438,21s-20-30-25.txt,30,20,13,3955.0
G03,LGAP,10,3,900,866527,21s-20-30-25.txt,30,20,10,3479.0
FCFS,LGAP,10,3,900,571763,21s-20-30-26.txt,30,20,13,3777.0
RANDOM,LGAP,10,3,900,495469,21s-20-30-26.txt,30,20,10,3207.0
SOP,LGAP,10,3,900,724328,21s-20-30-26.txt,30,20,20,4465.0
G01,LGAP,10,3,900,524643,21s-20-30-26.txt,30,20,10,3229.0
G02,LGAP,10,3,900,575795,21s-20-30-26.txt,30,20,12,3515.0
G03,LGAP,10,3,900,895529,21s-20-30-26.txt,30,20,11,3381.0
FCFS,LGAP,10,3,900,602913,21s-20-30-27.txt,30,20,13,4009.0
RANDOM,LGAP,10,3,900,543427,21s-20-30-27.txt,30,20,12,3887.0
SOP,LGAP,10,3,900,698077,21s-20-30-27.txt,30,20,20,4834.0
G01,LGAP,10,3,900,539727,21s-20-30-27.txt,30,20,11,3695.0
G02,LGAP,10,3,900,567002,21s-20-30-27.txt,30,20,13,3956.0
G03,LGAP,10,3,900,870552,21s-20-30-27.txt,30,20,11,3664.0
FCFS,LGAP,10,3,900,566337,21s-20-30-28.txt,30,20,13,3961.0
RANDOM,LGAP,10,3,900,517422,21s-20-30-28.txt,30,20,12,3743.0
SOP,LGAP,10,3,900,704219,21s-20-30-28.txt,30,20,20,4728.0
G01,LGAP,10,3,900,527284,21s-20-30-28.txt,30,20,11,3626.0
G02,LGAP,10,3,900,580428,21s-20-30-28.txt,30,20,13,3867.0
G03,LGAP,10,3,900,828179,21s-20-30-28.txt,30,20,11,3661.0
FCFS,LGAP,10,3,900,496010,21s-20-30-29.txt,30,20,12,3898.0
RANDOM,LGAP,10,3,900,447110,21s-20-30-29.txt,30,20,10,3392.0
SOP,LGAP,10,3,900,658274,21s-20-30-29.txt,30,20,20,4808.0
G01,LGAP,10,3,900,455391,21s-20-30-29.txt,30,20,9,3231.0
G02,LGAP,10,3,900,536876,21s-20-30-29.txt,30,20,12,3796.0
G03,LGAP,10,3,900,821878,21s-20-30-29.txt,30,20,10,3453.0
FCFS,LGAP,10,3,900,538084,21s-20-30-30.txt,30,20,11,3495.0
RANDOM,LGAP,10,3,900,477878,21s-20-30-30.txt,30,20,11,3475.0
SOP,LGAP,10,3,900,633009,21s-20-30-30.txt,30,20,20,4582.0
G01,LGAP,10,3,900,497901,21s-20-30-30.txt,30,20,10,3327.0
G02,LGAP,10,3,900,558150,21s-20-30-30.txt,30,20,13,3876.0
G03,LGAP,10,3,900,801967,21s-20-30-30.txt,30,20,11,3518.0
FCFS,LGAP,10,3,900,576963,21s-20-30-31.txt,30,20,15,4338.0
RANDOM,LGAP,10,3,900,546339,21s-20-30-31.txt,30,20,13,4086.0
SOP,LGAP,10,3,900,755304,21s-20-30-31.txt,30,20,20,4981.0
G01,LGAP,10,3,900,584655,21s-20-30-31.txt,30,20,12,3846.0
G02,LGAP,10,3,900,694009,21s-20-30-31.txt,30,20,14,4234.0
G03,LGAP,10,3,900,878607,21s-20-30-31.txt,30,20,12,3778.0
FCFS,LGAP,10,3,900,577174,21s-20-30-32.txt,30,20,12,4044.0
RANDOM,LGAP,10,3,900,523618,21s-20-30-32.txt,30,20,11,3888.0
SOP,LGAP,10,3,900,710230,21s-20-30-32.txt,30,20,20,5066.0
G01,LGAP,10,3,900,585390,21s-20-30-32.txt,30,20,11,3818.0
G02,LGAP,10,3,900,589459,21s-20-30-32.txt,30,20,14,4382.0
G03,LGAP,10,3,900,885412,21s-20-30-32.txt,30,20,12,4036.0
FCFS,LGAP,10,3,900,592890,21s-20-30-33.txt,30,20,13,4120.0
RANDOM,LGAP,10,3,900,573330,21s-20-30-33.txt,30,20,12,3833.0
SOP,LGAP,10,3,900,709133,21s-20-30-33.txt,30,20,20,5018.0
G01,LGAP,10,3,900,584886,21s-20-30-33.txt,30,20,11,3714.0
G02,LGAP,10,3,900,662744,21s-20-30-33.txt,30,20,14,4226.0
G03,LGAP,10,3,900,830958,21s-20-30-33.txt,30,20,11,3660.0
FCFS,LGAP,10,3,900,595667,21s-20-30-34.txt,30,20,14,4267.0
RANDOM,LGAP,10,3,900,570981,21s-20-30-34.txt,30,20,12,3919.0
SOP,LGAP,10,3,900,712744,21s-20-30-34.txt,30,20,20,4817.0
G01,LGAP,10,3,900,566130,21s-20-30-34.txt,30,20,11,3720.0
G02,LGAP,10,3,900,631022,21s-20-30-34.txt,30,20,14,4223.0
G03,LGAP,10,3,900,872309,21s-20-30-34.txt,30,20,12,3771.0
FCFS,LGAP,10,3,900,680245,21s-20-30-35.txt,30,20,16,4961.0
RANDOM,LGAP,10,3,900,580718,21s-20-30-35.txt,30,20,13,4440.0
SOP,LGAP,10,3,900,727466,21s-20-30-35.txt,30,20,20,5304.0
G01,LGAP,10,3,900,618395,21s-20-30-35.txt,30,20,13,4396.0
G02,LGAP,10,3,900,588055,21s-20-30-35.txt,30,20,16,4953.0
G03,LGAP,10,3,900,790200,21s-20-30-35.txt,30,20,14,4562.0
FCFS,LGAP,10,3,900,496149,21s-20-30-36.txt,30,20,14,4258.0
RANDOM,LGAP,10,3,900,481481,21s-20-30-36.txt,30,20,12,3912.0
SOP,LGAP,10,3,900,566005,21s-20-30-36.txt,30,20,20,4970.0
G01,LGAP,10,3,900,501150,21s-20-30-36.txt,30,20,12,3867.0
G02,LGAP,10,3,900,532416,21s-20-30-36.txt,30,20,14,4219.0
G03,LGAP,10,3,900,767074,21s-20-30-36.txt,30,20,12,3992.0
FCFS,LGAP,10,3,900,508379,21s-20-30-37.txt,30,20,14,4562.0
RANDOM,LGAP,10,3,900,469187,21s-20-30-37.txt,30,20,12,4294.0
SOP,LGAP,10,3,900,601798,21s-20-30-37.txt,30,20,20,5358.0
G01,LGAP,10,3,900,493561,21s-20-30-37.txt,30,20,11,4104.0
G02,LGAP,10,3,900,574940,21s-20-30-37.txt,30,20,14,4702.0
G03,LGAP,10,3,900,721831,21s-20-30-37.txt,30,20,12,4028.0
FCFS,LGAP,10,3,900,500254,21s-20-30-38.txt,30,20,14,4258.0
RANDOM,LGAP,10,3,900,507500,21s-20-30-38.txt,30,20,14,4396.0
SOP,LGAP,10,3,900,600097,21s-20-30-38.txt,30,20,20,5199.0
G01,LGAP,10,3,900,560462,21s-20-30-38.txt,30,20,13,4166.0
G02,LGAP,10,3,900,566027,21s-20-30-38.txt,30,20,15,4568.0
