obp_algorithm,prp_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,num_batches,distance
G01,SSHAPE,10,3,900,393131,21s-20-30-10.txt,30,20,10,3436.0
G02,SSHAPE,10,3,900,437322,21s-20-30-10.txt,30,20,13,4104.0
G03,SSHAPE,10,3,900,1408056,21s-20-30-10.txt,30,20,10,3372.0
FCFS,SSHAPE,10,3,900,394107,21s-20-30-11.txt,30,20,15,4898.0
RANDOM,SSHAPE,10,3,900,371029,21s-20-30-11.txt,30,20,13,4348.0
SOP,SSHAPE,10,3,900,402484,21s-20-30-11.txt,30,20,20,5614.0
G01,SSHAPE,10,3,900,460761,21s-20-30-11.txt,30,20,13,4414.0
G02,SSHAPE,10,3,900,453339,21s-20-30-11.txt,30,20,15,4932.0
G03,SSHAPE,10,3,900,1401583,21s-20-30-11.txt,30,20,13,4272.0
FCFS,SSHAPE,10,3,900,675553,21s-20-30-12.txt,30,20,15,5240.0
RANDOM,SSHAPE,10,3,900,661269,21s-20-30-12.txt,30,20,14,4986.0
SOP,SSHAPE,10,3,900,570341,21s-20-30-12.txt,30,20,20,6032.0
G01,SSHAPE,10,3,900,475044,21s-20-30-12.txt,30,20,14,5006.0
G02,SSHAPE,10,3,900,661874,21s-20-30-12.txt,30,20,16,5386.0
G03,SSHAPE,10,3,900,1299522,21s-20-30-12.txt,30,20,14,4916.0
FCFS,SSHAPE,10,3,900,399375,21s-20-30-13.txt,30,20,16,5196.0
RANDOM,SSHAPE,10,3,900,395366,21s-20-30-13.txt,30,20,13,4600.0
SOP,SSHAPE,10,3,900,436951,21s-20-30-13.txt,30,20,20,6068.0
G01,SSHAPE,10,3,900,424012,21s-20-30-13.txt,30,20,12,4252.0
G02,SSHAPE,10,3,900,448820,21s-20-30-13.txt,30,20,15,4910.0
G03,SSHAPE,10,3,900,1113785,21s-20-30-13.txt,30,20,12,4318.0
FCFS,SSHAPE,10,3,900,382147,21s-20-30-14.txt,30,20,13,4438.0
RANDOM,SSHAPE,10,3,900,326568,21s-20-30-14.txt,30,20,11,3998.0
SOP,SSHAPE,10,3,900,379537,21s-20-30-14.txt,30,20,20,5708.0
G01,SSHAPE,10,3,900,394016,21s-20-30-14.txt,30,20,10,3852.0
G02,SSHAPE,10,3,900,418600,21s-20-30-14.txt,30,20,13,4550.0
G03,SSHAPE,10,3,900,1290264,21s-20-30-14.txt,30,20,11,4040.0
FCFS,SSHAPE,10,3,900,291763,21s-20-30-15.txt,30,20,10,3300.0
RANDOM,SSHAPE,10,3,900,290773,21s-20-30-15.txt,30,20,8,2950.0
SOP,SSHAPE,10,3,900,334626,21s-20-30-15.txt,30,20,20,4978.0
G01,SSHAPE,10,3,900,365443,21s-20-30-15.txt,30,20,9,3172.0
G02,SSHAPE,10,3,900,327440,21s-20-30-15.txt,30,20,10,3528.0
G03,SSHAPE,10,3,900,1220738,21s-20-30-15.txt,30,20,9,3200.0
FCFS,SSHAPE,10,3,900,386765,21s-20-30-16.txt,30,20,15,4956.0
RANDOM,SSHAPE,10,3,900,384013,21s-20-30-16.txt,30,20,13,4584.0
SOP,SSHAPE,10,3,900,409102,21s-20-30-16.txt,30,20,20,5942.0
G01,SSHAPE,10,3,900,426941,21s-20-30-16.txt,30,20,12,4328.0
G02,SSHAPE,10,3,900,442535,21s-20-30-16.txt,30,20,15,5056.0
G03,SSHAPE,10,3,900,1115518,21s-20-30-16.txt,30,20,12,4330.0
FCFS,SSHAPE,10,3,900,561874,21s-20-30-17.txt,30,20,14,4646.0
RANDOM,SSHAPE,10,3,900,613094,21s-20-30-17.txt,30,20,13,4444.0
SOP,SSHAPE,10,3,900,646950,21s-20-30-17.txt,30,20,20,5770.0
G01,SSHAPE,10,3,900,424850,21s-20-30-17.txt,30,20,13,4382.0
G02,SSHAPE,10,3,900,395646,21s-20-30-17.txt,30,20,15,4820.0
G03,SSHAPE,10,3,900,1121466,21s-20-30-17.txt,30,20,13,4374.0
FCFS,SSHAPE,10,3,900,304365,21s-20-30-18.txt,30,20,13,4666.0
RANDOM,SSHAPE,10,3,900,271797,21s-20-30-18.txt,30,20,11,4268.0
SOP,SSHAPE,10,3,900,324065,21s-20-30-18.txt,30,20,20,5868.0
G01,SSHAPE,10,3,900,333453,21s-20-30-18.txt,30,20,10,3924.0
G02,SSHAPE,10,3,900,357684,21s-20-30-18.txt,30,20,13,4524.0
G03,SSHAPE,10,3,900,1199633,21s-20-30-18.txt,30,20,11,4206.0
FCFS,SSHAPE,10,3,900,488737,21s-20-30-19.txt,30,20,13,4392.0
RANDOM,SSHAPE,10,3,900,451812,21s-20-30-19.txt,30,20,10,3816.0
SOP,SSHAPE,10,3,900,403756,21s-20-30-19.txt,30,20,20,5418.0
G01,SSHAPE,10,3,900,335295,21s-20-30-19.txt,30,20,10,3670.0
G02,SSHAPE,10,3,900,414391,21s-20-30-19.txt,30,20,12,4144.0
G03,SSHAPE,10,3,900,1198248,21s-20-30-19.txt,30,20,11,3976.0
FCFS,SSHAPE,10,3,900,377200,21s-20-30-20.txt,30,20,17,5522.0
RANDOM,SSHAPE,10,3,900,326763,21s-20-30-20.txt,30,20,15,5168.0
SOP,SSHAPE,10,3,900,585154,21s-20-30-20.txt,30,20,20,5966.0
G01,SSHAPE,10,3,900,647701,21s-20-30-20.txt,30,20,15,5214.0
G02,SSHAPE,10,3,900,448352,21s-20-30-20.txt,30,20,16,5416.0
G03,SSHAPE,10,3,900,970930,21s-20-30-20.txt,30,20,16,5418.0
FCFS,SSHAPE,10,3,900,259520,21s-20-30-21.txt,30,20,11,3774.0
RANDOM,SSHAPE,10,3,900,238477,21s-20-30-21.txt,30,20,9,3442.0
SOP,SSHAPE,10,3,900,298936,21s-20-30-21.txt,30,20,20,5124.0
G01,SSHAPE,10,3,900,301982,21s-20-30-21.txt,30,20,9,3298.0
G02,SSHAPE,10,3,900,299394,21s-20-30-21.txt,30,20,11,3676.0
G03,SSHAPE,10,3,900,1357678,21s-20-30-21.txt,30,20,9,3408.0
FCFS,SSHAPE,10,3,900,256892,21s-20-30-22.txt,30,20,11,3646.0
RANDOM,SSHAPE,10,3,900,233215,21s-20-30-22.txt,30,20,9,3224.0
SOP,SSHAPE,10,3,900,291708,21s-20-30-22.txt,30,20,20,5018.0
G01,SSHAPE,10,3,900,326498,21s-20-30-22.txt,30,20,9,3162.0
G02,SSHAPE,10,3,900,305552,21s-20-30-22.txt,30,20,11,3752.0
G03,SSHAPE,10,3,900,1256513,21s-20-30-22.txt,30,20,9,3116.0
FCFS,SSHAPE,10,3,900,297478,21s-20-30-23.txt,30,20,13,4146.0
RANDOM,SSHAPE,10,3,900,266169,21s-20-30-23.txt,30,20,12,3976.0
SOP,SSHAPE,10,3,900,309120,21s-20-30-23.txt,30,20,20,5174.0
G01,SSHAPE,10,3,900,333878,21s-20-30-23.txt,30,20,11,3796.0
G02,SSHAPE,10,3,900,336616,21s-20-30-23.txt,30,20,13,4230.0
G03,SSHAPE,10,3,900,1148458,21s-20-30-23.txt,30,20,12,3984.0
FCFS,SSHAPE,10,3,900,309330,21s-20-30-24.txt,30,20,14,4884.0
RANDOM,SSHAPE,10,3,900,280014,21s-20-30-24.txt,30,20,12,4328.0
SOP,SSHAPE,10,3,900,323246,21s-20-30-24.txt,30,20,20,5896.0
G01,SSHAPE,10,3,900,363172,21s-20-30-24.txt,30,20,12,4274.0
G02,SSHAPE,10,3,900,374632,21s-20-30-24.txt,30,20,15,5178.0
G03,SSHAPE,10,3,900,1081795,21s-20-30-24.txt,30,20,13,4630.0
FCFS,SSHAPE,10,3,900,272107,21s-20-30-25.txt,30,20,12,4004.0
RANDOM,SSHAPE,10,3,900,246719,21s-20-30-25.txt,30,20,11,3872.0
SOP,SSHAPE,10,3,900,411105,21s-20-30-25.txt,30,20,20,5242.0
G01,SSHAPE,10,3,900,517986,21s-20-30-25.txt,30,20,10,3584.0
G02,SSHAPE,10,3,900,536990,21s-20-30-25.txt,30,20,13,4392.0
G03,SSHAPE,10,3,900,1507702,21s-20-30-25.txt,30,20,10,3488.0
FCFS,SSHAPE,10,3,900,312650,21s-20-30-26.txt,30,20,13,4148.0
RANDOM,SSHAPE,10,3,900,250843,21s-20-30-26.txt,30,20,11,3726.0
SOP,SSHAPE,10,3,900,293466,21s-20-30-26.txt,30,20,20,5130.0
G01,SSHAPE,10,3,900,330338,21s-20-30-26.txt,30,20,10,3558.0
G02,SSHAPE,10,3,900,311304,21s-20-30-26.txt,30,20,12,3836.0
G03,SSHAPE,10,3,900,1205480,21s-20-30-26.txt,30,20,11,3802.0
FCFS,SSHAPE,10,3,900,278678,21s-20-30-27.txt,30,20,13,4290.0
RANDOM,SSHAPE,10,3,900,257053,21s-20-30-27.txt,30,20,12,4122.0
SOP,SSHAPE,10,3,900,294908,21s-20-30-27.txt,30,20,20,5662.0
G01,SSHAPE,10,3,900,310354,21s-20-30-27.txt,30,20,11,4058.0
G02,SSHAPE,10,3,900,318928,21s-20-30-27.txt,30,20,13,4440.0
G03,SSHAPE,10,3,900,1143596,21s-20-30-27.txt,30,20,11,4042.0
FCFS,SSHAPE,10,3,900,278773,21s-20-30-28.txt,30,20,13,4154.0
RANDOM,SSHAPE,10,3,900,260721,21s-20-30-28.txt,30,20,12,4050.0
SOP,SSHAPE,10,3,900,306924,21s-20-30-28.txt,30,20,20,5282.0
G01,SSHAPE,10,3,900,324181,21s-20-30-28.txt,30,20,11,3794.0
G02,SSHAPE,10,3,900,318492,21s-20-30-28.txt,30,20,13,4230.0
G03,SSHAPE,10,3,900,1083914,21s-20-30-28.txt,30,20,11,3862.0
FCFS,SSHAPE,10,3,900,333565,21s-20-30-29.txt,30,20,12,4238.0
RANDOM,SSHAPE,10,3,900,249482,21s-20-30-29.txt,30,20,11,3942.0
SOP,SSHAPE,10,3,900,357051,21s-20-30-29.txt,30,20,20,5510.0
G01,SSHAPE,10,3,900,296475,21s-20-30-29.txt,30,20,9,3446.0
G02,SSHAPE,10,3,900,298941,21s-20-30-29.txt,30,20,12,4304.0
G03,SSHAPE,10,3,900,1145381,21s-20-30-29.txt,30,20,10,3740.0
FCFS,SSHAPE,10,3,900,268578,21s-20-30-30.txt,30,20,11,3672.0
RANDOM,SSHAPE,10,3,900,247714,21s-20-30-30.txt,30,20,11,3772.0
SOP,SSHAPE,10,3,900,300307,21s-20-30-30.txt,30,20,20,5264.0
G01,SSHAPE,10,3,900,314454,21s-20-30-30.txt,30,20,10,3530.0
G02,SSHAPE,10,3,900,306173,21s-20-30-30.txt,30,20,13,4328.0
G03,SSHAPE,10,3,900,1143555,21s-20-30-30.txt,30,20,11,3848.0
FCFS,SSHAPE,10,3,900,335623,21s-20-30-31.txt,30,20,15,4726.0
RANDOM,SSHAPE,10,3,900,276346,21s-20-30-31.txt,30,20,13,4312.0
SOP,SSHAPE,10,3,900,307757,21s-20-30-31.txt,30,20,20,5608.0
G01,SSHAPE,10,3,900,338108,21s-20-30-31.txt,30,20,12,4022.0
G02,SSHAPE,10,3,900,355882,21s-20-30-31.txt,30,20,14,4596.0
G03,SSHAPE,10,3,900,1051300,21s-20-30-31.txt,30,20,12,4112.0
FCFS,SSHAPE,10,3,900,283701,21s-20-30-32.txt,30,20,12,4250.0
RANDOM,SSHAPE,10,3,900,288045,21s-20-30-32.txt,30,20,12,4178.0
SOP,SSHAPE,10,3,900,312930,21s-20-30-32.txt,30,20,20,5742.0
G01,SSHAPE,10,3,900,337374,21s-20-30-32.txt,30,20,11,4034.0
G02,SSHAPE,10,3,900,335302,21s-20-30-32.txt,30,20,14,4886.0
G03,SSHAPE,10,3,900,1416314,21s-20-30-32.txt,30,20,12,4264.0
FCFS,SSHAPE,10,3,900,318373,21s-20-30-33.txt,30,20,13,4390.0
RANDOM,SSHAPE,10,3,900,262039,21s-20-30-33.txt,30,20,11,3966.0
SOP,SSHAPE,10,3,900,302110,21s-20-30-33.txt,30,20,20,5592.0
G01,SSHAPE,10,3,900,319586,21s-20-30-33.txt,30,20,11,3934.0
G02,SSHAPE,10,3,900,366177,21s-20-30-33.txt,30,20,14,4538.0
G03,SSHAPE,10,3,900,1168258,21s-20-30-33.txt,30,20,11,3912.0
FCFS,SSHAPE,10,3,900,308519,21s-20-30-34.txt,30,20,14,4532.0
RANDOM,SSHAPE,10,3,900,272215,21s-20-30-34.txt,30,20,11,3862.0
SOP,SSHAPE,10,3,900,315348,21s-20-30-34.txt,30,20,20,5358.0
