obp_algorithm,prp_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,num_batches,distance
SOP,SSHAPE,10,3,900,667223,21s-20-30-10.txt,30,20,20,5366.0
G01,SSHAPE,10,3,900,572793,21s-20-30-10.txt,30,20,10,3436.0
G02,SSHAPE,10,3,900,631437,21s-20-30-10.txt,30,20,13,4104.0
G03,SSHAPE,10,3,900,1803881,21s-20-30-10.txt,30,20,10,3372.0
FCFS,SSHAPE,10,3,900,704131,21s-20-30-11.txt,30,20,15,4898.0
RANDOM,SSHAPE,10,3,900,700408,21s-20-30-11.txt,30,20,14,4712.0
SOP,SSHAPE,10,3,900,758633,21s-20-30-11.txt,30,20,20,5614.0
G01,SSHAPE,10,3,900,747532,21s-20-30-11.txt,30,20,13,4414.0
G02,SSHAPE,10,3,900,763752,21s-20-30-11.txt,30,20,15,4932.0
G03,SSHAPE,10,3,900,1451525,21s-20-30-11.txt,30,20,13,4272.0
FCFS,SSHAPE,10,3,900,684722,21s-20-30-12.txt,30,20,15,5240.0
RANDOM,SSHAPE,10,3,900,619934,21s-20-30-12.txt,30,20,14,5102.0
SOP,SSHAPE,10,3,900,416495,21s-20-30-12.txt,30,20,20,6032.0
G01,SSHAPE,10,3,900,414540,21s-20-30-12.txt,30,20,14,5006.0
G02,SSHAPE,10,3,900,453424,21s-20-30-12.txt,30,20,16,5386.0
G03,SSHAPE,10,3,900,1133116,21s-20-30-12.txt,30,20,14,4916.0
FCFS,SSHAPE,10,3,900,694568,21s-20-30-13.txt,30,20,16,5196.0
RANDOM,SSHAPE,10,3,900,670320,21s-20-30-13.txt,30,20,14,4790.0
SOP,SSHAPE,10,3,900,729708,21s-20-30-13.txt,30,20,20,6068.0
G01,SSHAPE,10,3,900,678543,21s-20-30-13.txt,30,20,12,4252.0
G02,SSHAPE,10,3,900,741344,21s-20-30-13.txt,30,20,15,4910.0
G03,SSHAPE,10,3,900,1504581,21s-20-30-13.txt,30,20,12,4318.0
FCFS,SSHAPE,10,3,900,647656,21s-20-30-14.txt,30,20,13,4438.0
RANDOM,SSHAPE,10,3,900,598515,21s-20-30-14.txt,30,20,11,3956.0
SOP,SSHAPE,10,3,900,688955,21s-20-30-14.txt,30,20,20,5708.0
G01,SSHAPE,10,3,900,602890,21s-20-30-14.txt,30,20,10,3852.0
G02,SSHAPE,10,3,900,649772,21s-20-30-14.txt,30,20,13,4550.0
G03,SSHAPE,10,3,900,1594072,21s-20-30-14.txt,30,20,11,4040.0
FCFS,SSHAPE,10,3,900,507913,21s-20-30-15.txt,30,20,10,3300.0
RANDOM,SSHAPE,10,3,900,476819,21s-20-30-15.txt,30,20,9,3308.0
SOP,SSHAPE,10,3,900,617577,21s-20-30-15.txt,30,20,20,4978.0
G01,SSHAPE,10,3,900,538704,21s-20-30-15.txt,30,20,9,3172.0
G02,SSHAPE,10,3,900,526391,21s-20-30-15.txt,30,20,10,3528.0
G03,SSHAPE,10,3,900,1602961,21s-20-30-15.txt,30,20,9,3200.0
FCFS,SSHAPE,10,3,900,658175,21s-20-30-16.txt,30,20,15,4956.0
RANDOM,SSHAPE,10,3,900,634767,21s-20-30-16.txt,30,20,13,4612.0
SOP,SSHAPE,10,3,900,729906,21s-20-30-16.txt,30,20,20,5942.0
G01,SSHAPE,10,3,900,693022,21s-20-30-16.txt,30,20,12,4328.0
G02,SSHAPE,10,3,900,732936,21s-20-30-16.txt,30,20,15,5056.0
G03,SSHAPE,10,3,900,1480101,21s-20-30-16.txt,30,20,12,4330.0
FCFS,SSHAPE,10,3,900,688938,21s-20-30-17.txt,30,20,14,4646.0
RANDOM,SSHAPE,10,3,900,638621,21s-20-30-17.txt,30,20,13,4420.0
SOP,SSHAPE,10,3,900,751142,21s-20-30-17.txt,30,20,20,5770.0
G01,SSHAPE,10,3,900,681561,21s-20-30-17.txt,30,20,13,4382.0
G02,SSHAPE,10,3,900,674853,21s-20-30-17.txt,30,20,15,4820.0
G03,SSHAPE,10,3,900,1497322,21s-20-30-17.txt,30,20,13,4374.0
FCFS,SSHAPE,10,3,900,558239,21s-20-30-18.txt,30,20,13,4666.0
RANDOM,SSHAPE,10,3,900,524702,21s-20-30-18.txt,30,20,12,4450.0
SOP,SSHAPE,10,3,900,632423,21s-20-30-18.txt,30,20,20,5868.0
G01,SSHAPE,10,3,900,577781,21s-20-30-18.txt,30,20,10,3924.0
G02,SSHAPE,10,3,900,576620,21s-20-30-18.txt,30,20,13,4524.0
G03,SSHAPE,10,3,900,1341042,21s-20-30-18.txt,30,20,11,4206.0
FCFS,SSHAPE,10,3,900,382937,21s-20-30-19.txt,30,20,13,4392.0
RANDOM,SSHAPE,10,3,900,284542,21s-20-30-19.txt,30,20,11,4096.0
SOP,SSHAPE,10,3,900,326813,21s-20-30-19.txt,30,20,20,5418.0
G01,SSHAPE,10,3,900,296278,21s-20-30-19.txt,30,20,10,3670.0
G02,SSHAPE,10,3,900,324639,21s-20-30-19.txt,30,20,12,4144.0
G03,SSHAPE,10,3,900,1320229,21s-20-30-19.txt,30,20,11,3976.0
FCFS,SSHAPE,10,3,900,675033,21s-20-30-20.txt,30,20,17,5522.0
RANDOM,SSHAPE,10,3,900,623852,21s-20-30-20.txt,30,20,15,5234.0
SOP,SSHAPE,10,3,900,702374,21s-20-30-20.txt,30,20,20,5966.0
G01,SSHAPE,10,3,900,719384,21s-20-30-20.txt,30,20,15,5214.0
G02,SSHAPE,10,3,900,738838,21s-20-30-20.txt,30,20,16,5416.0
G03,SSHAPE,10,3,900,1333165,21s-20-30-20.txt,30,20,16,5418.0
FCFS,SSHAPE,10,3,900,449795,21s-20-30-21.txt,30,20,11,3774.0
RANDOM,SSHAPE,10,3,900,466998,21s-20-30-21.txt,30,20,10,3588.0
SOP,SSHAPE,10,3,900,557437,21s-20-30-21.txt,30,20,20,5124.0
G01,SSHAPE,10,3,900,466482,21s-20-30-21.txt,30,20,9,3298.0
G02,SSHAPE,10,3,900,475803,21s-20-30-21.txt,30,20,11,3676.0
G03,SSHAPE,10,3,900,1723966,21s-20-30-21.txt,30,20,9,3408.0
FCFS,SSHAPE,10,3,900,462989,21s-20-30-22.txt,30,20,11,3646.0
RANDOM,SSHAPE,10,3,900,431758,21s-20-30-22.txt,30,20,9,3344.0
SOP,SSHAPE,10,3,900,568834,21s-20-30-22.txt,30,20,20,5018.0
G01,SSHAPE,10,3,900,448978,21s-20-30-22.txt,30,20,9,3162.0
G02,SSHAPE,10,3,900,476461,21s-20-30-22.txt,30,20,11,3752.0
G03,SSHAPE,10,3,900,1599506,21s-20-30-22.txt,30,20,9,3116.0
FCFS,SSHAPE,10,3,900,562058,21s-20-30-23.txt,30,20,13,4146.0
RANDOM,SSHAPE,10,3,900,539212,21s-20-30-23.txt,30,20,12,4054.0
SOP,SSHAPE,10,3,900,607735,21s-20-30-23.txt,30,20,20,5174.0
G01,SSHAPE,10,3,900,535874,21s-20-30-23.txt,30,20,11,3796.0
G02,SSHAPE,10,3,900,592912,21s-20-30-23.txt,30,20,13,4230.0
G03,SSHAPE,10,3,900,975616,21s-20-30-23.txt,30,20,12,3984.0
FCFS,SSHAPE,10,3,900,546366,21s-20-30-24.txt,30,20,14,4884.0
RANDOM,SSHAPE,10,3,900,538640,21s-20-30-24.txt,30,20,13,4632.0
SOP,SSHAPE,10,3,900,630209,21s-20-30-24.txt,30,20,20,5896.0
G01,SSHAPE,10,3,900,591998,21s-20-30-24.txt,30,20,12,4274.0
G02,SSHAPE,10,3,900,615884,21s-20-30-24.txt,30,20,15,5178.0
G03,SSHAPE,10,3,900,939919,21s-20-30-24.txt,30,20,13,4630.0
FCFS,SSHAPE,10,3,900,501077,21s-20-30-25.txt,30,20,12,4004.0
RANDOM,SSHAPE,10,3,900,476698,21s-20-30-25.txt,30,20,10,3622.0
SOP,SSHAPE,10,3,900,605259,21s-20-30-25.txt,30,20,20,5242.0
G01,SSHAPE,10,3,900,528244,21s-20-30-25.txt,30,20,10,3584.0
G02,SSHAPE,10,3,900,557296,21s-20-30-25.txt,30,20,13,4392.0
G03,SSHAPE,10,3,900,1010907,21s-20-30-25.txt,30,20,10,3488.0
FCFS,SSHAPE,10,3,900,523187,21s-20-30-26.txt,30,20,13,4148.0
RANDOM,SSHAPE,10,3,900,458224,21s-20-30-26.txt,30,20,11,3706.0
SOP,SSHAPE,10,3,900,551212,21s-20-30-26.txt,30,20,20,5130.0
G01,SSHAPE,10,3,900,494202,21s-20-30-26.txt,30,20,10,3558.0
G02,SSHAPE,10,3,900,514643,21s-20-30-26.txt,30,20,12,3836.0
G03,SSHAPE,10,3,900,910847,21s-20-30-26.txt,30,20,11,3802.0
FCFS,SSHAPE,10,3,900,462741,21s-20-30-27.txt,30,20,13,4290.0
RANDOM,SSHAPE,10,3,900,500295,21s-20-30-27.txt,30,20,12,4232.0
SOP,SSHAPE,10,3,900,554191,21s-20-30-27.txt,30,20,20,5662.0
G01,SSHAPE,10,3,900,542858,21s-20-30-27.txt,30,20,11,4058.0
G02,SSHAPE,10,3,900,552473,21s-20-30-27.txt,30,20,13,4440.0
G03,SSHAPE,10,3,900,903317,21s-20-30-27.txt,30,20,11,4042.0
FCFS,SSHAPE,10,3,900,503512,21s-20-30-28.txt,30,20,13,4154.0
RANDOM,SSHAPE,10,3,900,474276,21s-20-30-28.txt,30,20,11,3898.0
SOP,SSHAPE,10,3,900,534475,21s-20-30-28.txt,30,20,20,5282.0
G01,SSHAPE,10,3,900,535583,21s-20-30-28.txt,30,20,11,3794.0
