obp_algorithm,prp_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,num_batches,distance
FCFS,LGAP,10,3,900,852446,1l-20-30-8.txt,30,20,15,4266.0
RANDOM,LGAP,10,3,900,820373,1l-20-30-8.txt,30,20,13,4052.0
SOP,LGAP,10,3,900,1029491,1l-20-30-8.txt,30,20,20,4849.0
G01,LGAP,10,3,900,917447,1l-20-30-8.txt,30,20,13,4091.0
G02,LGAP,10,3,900,937633,1l-20-30-8.txt,30,20,15,4308.0
G03,LGAP,10,3,900,1079616,1l-20-30-8.txt,30,20,13,4149.0
FCFS,LGAP,10,3,900,806729,1l-20-30-9.txt,30,20,14,4562.0
RANDOM,LGAP,10,3,900,807334,1l-20-30-9.txt,30,20,13,4481.0
SOP,LGAP,10,3,900,977549,1l-20-30-9.txt,30,20,20,5379.0
G01,LGAP,10,3,900,823717,1l-20-30-9.txt,30,20,13,4540.0
G02,LGAP,10,3,900,896236,1l-20-30-9.txt,30,20,15,4842.0
G03,LGAP,10,3,900,1051457,1l-20-30-9.txt,30,20,13,4530.0
FCFS,LGAP,10,3,900,808138,1l-20-30-10.txt,30,20,14,3960.0
RANDOM,LGAP,10,3,900,752751,1l-20-30-10.txt,30,20,13,3830.0
SOP,LGAP,10,3,900,976192,1l-20-30-10.txt,30,20,20,4745.0
G01,LGAP,10,3,900,782697,1l-20-30-10.txt,30,20,12,3779.0
G02,LGAP,10,3,900,870286,1l-20-30-10.txt,30,20,15,4169.0
G03,LGAP,10,3,900,1055610,1l-20-30-10.txt,30,20,13,3836.0
FCFS,LGAP,10,3,900,719222,1l-20-30-11.txt,30,20,12,3846.0
RANDOM,LGAP,10,3,900,604581,1l-20-30-11.txt,30,20,11,3638.0
SOP,LGAP,10,3,900,971068,1l-20-30-11.txt,30,20,20,4871.0
G01,LGAP,10,3,900,642617,1l-20-30-11.txt,30,20,10,3430.0
G02,LGAP,10,3,900,648850,1l-20-30-11.txt,30,20,12,3734.0
G03,LGAP,10,3,900,933535,1l-20-30-11.txt,30,20,11,3621.0
FCFS,LGAP,10,3,900,639005,1l-20-30-12.txt,30,20,14,4241.0
RANDOM,LGAP,10,3,900,589464,1l-20-30-12.txt,30,20,12,3891.0
SOP,LGAP,10,3,900,795002,1l-20-30-12.txt,30,20,20,4901.0
G01,LGAP,10,3,900,610644,1l-20-30-12.txt,30,20,11,3683.0
G02,LGAP,10,3,900,736446,1l-20-30-12.txt,30,20,14,4167.0
G03,LGAP,10,3,900,933029,1l-20-30-12.txt,30,20,11,3626.0
FCFS,LGAP,10,3,900,679620,1l-20-30-13.txt,30,20,14,4278.0
RANDOM,LGAP,10,3,900,606549,1l-20-30-13.txt,30,20,12,4106.0
SOP,LGAP,10,3,900,775552,1l-20-30-13.txt,30,20,20,5214.0
G01,LGAP,10,3,900,684674,1l-20-30-13.txt,30,20,12,4054.0
G02,LGAP,10,3,900,711627,1l-20-30-13.txt,30,20,15,4640.0
G03,LGAP,10,3,900,916781,1l-20-30-13.txt,30,20,12,4074.0
FCFS,LGAP,10,3,900,709381,1l-20-30-14.txt,30,20,16,4501.0
RANDOM,LGAP,10,3,900,712451,1l-20-30-14.txt,30,20,13,4060.0
SOP,LGAP,10,3,900,809387,1l-20-30-14.txt,30,20,20,4865.0
G01,LGAP,10,3,900,698234,1l-20-30-14.txt,30,20,12,3964.0
G02,LGAP,10,3,900,740168,1l-20-30-14.txt,30,20,15,4395.0
G03,LGAP,10,3,900,918330,1l-20-30-14.txt,30,20,12,3954.0
FCFS,LGAP,10,3,900,511074,1l-20-30-15.txt,30,20,11,3739.0
RANDOM,LGAP,10,3,900,487969,1l-20-30-15.txt,30,20,10,3506.0
SOP,LGAP,10,3,900,710287,1l-20-30-15.txt,30,20,20,4645.0
G01,LGAP,10,3,900,543969,1l-20-30-15.txt,30,20,10,3453.0
G02,LGAP,10,3,900,576361,1l-20-30-15.txt,30,20,12,3826.0
G03,LGAP,10,3,900,911051,1l-20-30-15.txt,30,20,10,3500.0
FCFS,LGAP,10,3,900,571786,1l-20-30-16.txt,30,20,13,4013.0
RANDOM,LGAP,10,3,900,519348,1l-20-30-16.txt,30,20,11,3815.0
SOP,LGAP,10,3,900,736709,1l-20-30-16.txt,30,20,20,5051.0
G01,LGAP,10,3,900,546835,1l-20-30-16.txt,30,20,10,3741.0
G02,LGAP,10,3,900,605230,1l-20-30-16.txt,30,20,13,4191.0
G03,LGAP,10,3,900,887898,1l-20-30-16.txt,30,20,12,3891.0
FCFS,LGAP,10,3,900,552878,1l-20-30-17.txt,30,20,13,3822.0
RANDOM,LGAP,10,3,900,531522,1l-20-30-17.txt,30,20,11,3676.0
SOP,LGAP,10,3,900,745771,1l-20-30-17.txt,30,20,20,4686.0
G01,LGAP,10,3,900,576705,1l-20-30-17.txt,30,20,10,3460.0
G02,LGAP,10,3,900,608334,1l-20-30-17.txt,30,20,13,3902.0
G03,LGAP,10,3,900,871093,1l-20-30-17.txt,30,20,11,3716.0
FCFS,LGAP,10,3,900,632798,1l-20-30-18.txt,30,20,15,4297.0
RANDOM,LGAP,10,3,900,585404,1l-20-30-18.txt,30,20,13,4059.0
SOP,LGAP,10,3,900,749357,1l-20-30-18.txt,30,20,20,5013.0
G01,LGAP,10,3,900,640847,1l-20-30-18.txt,30,20,12,3905.0
G02,LGAP,10,3,900,712225,1l-20-30-18.txt,30,20,15,4383.0
G03,LGAP,10,3,900,905583,1l-20-30-18.txt,30,20,12,3855.0
FCFS,LGAP,10,3,900,523425,1l-20-30-19.txt,30,20,11,3338.0
RANDOM,LGAP,10,3,900,483552,1l-20-30-19.txt,30,20,10,3103.0
SOP,LGAP,10,3,900,706400,1l-20-30-19.txt,30,20,20,4399.0
G01,LGAP,10,3,900,522222,1l-20-30-19.txt,30,20,9,3059.0
G02,LGAP,10,3,900,559731,1l-20-30-19.txt,30,20,12,3412.0
G03,LGAP,10,3,900,916493,1l-20-30-19.txt,30,20,10,3188.0
FCFS,LGAP,10,3,900,582130,1l-20-30-20.txt,30,20,13,3706.0
RANDOM,LGAP,10,3,900,497074,1l-20-30-20.txt,30,20,10,3402.0
SOP,LGAP,10,3,900,727879,1l-20-30-20.txt,30,20,20,4569.0
G01,LGAP,10,3,900,521155,1l-20-30-20.txt,30,20,10,3245.0
G02,LGAP,10,3,900,596509,1l-20-30-20.txt,30,20,12,3681.0
G03,LGAP,10,3,900,900653,1l-20-30-20.txt,30,20,10,3352.0
FCFS,LGAP,10,3,900,607601,1l-20-30-21.txt,30,20,14,4658.0
RANDOM,LGAP,10,3,900,549927,1l-20-30-21.txt,30,20,12,4123.0
SOP,LGAP,10,3,900,733474,1l-20-30-21.txt,30,20,20,5511.0
G01,LGAP,10,3,900,597805,1l-20-30-21.txt,30,20,11,4023.0
G02,LGAP,10,3,900,645154,1l-20-30-21.txt,30,20,14,4672.0
G03,LGAP,10,3,900,956796,1l-20-30-21.txt,30,20,13,4396.0
FCFS,LGAP,10,3,900,542935,1l-20-30-22.txt,30,20,12,3882.0
RANDOM,LGAP,10,3,900,486690,1l-20-30-22.txt,30,20,11,3696.0
SOP,LGAP,10,3,900,663901,1l-20-30-22.txt,30,20,20,4788.0
G01,LGAP,10,3,900,548700,1l-20-30-22.txt,30,20,10,3378.0
G02,LGAP,10,3,900,545499,1l-20-30-22.txt,30,20,12,3832.0
G03,LGAP,10,3,900,860065,1l-20-30-22.txt,30,20,10,3428.0
FCFS,LGAP,10,3,900,719162,1l-20-30-23.txt,30,20,16,5205.0
RANDOM,LGAP,10,3,900,680776,1l-20-30-23.txt,30,20,15,5033.0
SOP,LGAP,10,3,900,742579,1l-20-30-23.txt,30,20,20,5734.0
G01,LGAP,10,3,900,740873,1l-20-30-23.txt,30,20,15,4989.0
G02,LGAP,10,3,900,780765,1l-20-30-23.txt,30,20,17,5386.0
G03,LGAP,10,3,900,980300,1l-20-30-23.txt,30,20,16,5122.0
FCFS,LGAP,10,3,900,412111,1l-20-30-24.txt,30,20,9,3064.0
RANDOM,LGAP,10,3,900,379691,1l-20-30-24.txt,30,20,8,2887.0
SOP,LGAP,10,3,900,639840,1l-20-30-24.txt,30,20,20,4134.0
G01,LGAP,10,3,900,416205,1l-20-30-24.txt,30,20,8,2892.0
G02,LGAP,10,3,900,410190,1l-20-30-24.txt,30,20,9,3091.0
G03,LGAP,10,3,900,808880,1l-20-30-24.txt,30,20,8,2857.0
FCFS,LGAP,10,3,900,620718,1l-20-30-25.txt,30,20,14,4356.0
RANDOM,LGAP,10,3,900,582564,1l-20-30-25.txt,30,20,13,4179.0
SOP,LGAP,10,3,900,729131,1l-20-30-25.txt,30,20,20,5101.0
G01,LGAP,10,3,900,651586,1l-20-30-25.txt,30,20,12,4089.0
G02,LGAP,10,3,900,655491,1l-20-30-25.txt,30,20,14,4445.0
G03,LGAP,10,3,900,911869,1l-20-30-25.txt,30,20,12,3984.0
FCFS,LGAP,10,3,900,597143,1l-20-30-26.txt,30,20,14,4334.0
RANDOM,LGAP,10,3,900,378463,1l-20-30-26.txt,30,20,13,4253.0
SOP,LGAP,10,3,900,403366,1l-20-30-26.txt,30,20,20,5225.0
G01,LGAP,10,3,900,374171,1l-20-30-26.txt,30,20,12,4005.0
G02,LGAP,10,3,900,548225,1l-20-30-26.txt,30,20,15,4606.0
G03,LGAP,10,3,900,913712,1l-20-30-26.txt,30,20,13,4242.0
FCFS,LGAP,10,3,900,601307,1l-20-30-27.txt,30,20,14,4223.0
RANDOM,LGAP,10,3,900,578443,1l-20-30-27.txt,30,20,12,3853.0
SOP,LGAP,10,3,900,751433,1l-20-30-27.txt,30,20,20,4947.0
G01,LGAP,10,3,900,608711,1l-20-30-27.txt,30,20,12,3882.0
G02,LGAP,10,3,900,655578,1l-20-30-27.txt,30,20,14,4161.0
G03,LGAP,10,3,900,930959,1l-20-30-27.txt,30,20,13,4042.0
FCFS,LGAP,10,3,900,557352,1l-20-30-28.txt,30,20,12,3829.0
RANDOM,LGAP,10,3,900,546015,1l-20-30-28.txt,30,20,13,3961.0
SOP,LGAP,10,3,900,669308,1l-20-30-28.txt,30,20,20,4810.0
G01,LGAP,10,3,900,580262,1l-20-30-28.txt,30,20,11,3681.0
G02,LGAP,10,3,900,600244,1l-20-30-28.txt,30,20,13,4043.0
G03,LGAP,10,3,900,876736,1l-20-30-28.txt,30,20,12,3863.0
FCFS,LGAP,10,3,900,578594,1l-20-30-29.txt,30,20,14,4205.0
RANDOM,LGAP,10,3,900,526718,1l-20-30-29.txt,30,20,11,3827.0
SOP,LGAP,10,3,900,672215,1l-20-30-29.txt,30,20,20,4905.0
G01,LGAP,10,3,900,604895,1l-20-30-29.txt,30,20,11,3739.0
G02,LGAP,10,3,900,627448,1l-20-30-29.txt,30,20,13,3967.0
G03,LGAP,10,3,900,883755,1l-20-30-29.txt,30,20,12,3854.0
FCFS,LGAP,10,3,900,549972,1l-20-30-30.txt,30,20,13,3840.0
RANDOM,LGAP,10,3,900,459156,1l-20-30-30.txt,30,20,10,3398.0
SOP,LGAP,10,3,900,652760,1l-20-30-30.txt,30,20,20,4628.0
G01,LGAP,10,3,900,544241,1l-20-30-30.txt,30,20,10,3298.0
G02,LGAP,10,3,900,576320,1l-20-30-30.txt,30,20,12,3773.0
G03,LGAP,10,3,900,834223,1l-20-30-30.txt,30,20,10,3392.0
FCFS,LGAP,10,3,900,639243,1l-20-30-31.txt,30,20,16,4792.0
RANDOM,LGAP,10,3,900,594969,1l-20-30-31.txt,30,20,14,4430.0
SOP,LGAP,10,3,900,687569,1l-20-30-31.txt,30,20,20,5206.0
G01,LGAP,10,3,900,386534,1l-20-30-31.txt,30,20,14,4547.0
G02,LGAP,10,3,900,398641,1l-20-30-31.txt,30,20,15,4652.0
G03,LGAP,10,3,900,523662,1l-20-30-31.txt,30,20,14,4407.0
FCFS,LGAP,10,3,900,308743,1l-20-30-32.txt,30,20,13,3872.0
RANDOM,LGAP,10,3,900,283887,1l-20-30-32.txt,30,20,11,3660.0
SOP,LGAP,10,3,900,358673,1l-20-30-32.txt,30,20,20,4737.0
G01,LGAP,10,3,900,301285,1l-20-30-32.txt,30,20,10,3499.0
G02,LGAP,10,3,900,337873,1l-20-30-32.txt,30,20,13,4052.0
G03,LGAP,10,3,900,518824,1l-20-30-32.txt,30,20,12,3764.0
FCFS,LGAP,10,3,900,331295,1l-20-30-33.txt,30,20,14,4424.0
RANDOM,LGAP,10,3,900,304548,1l-20-30-33.txt,30,20,12,3960.0
SOP,LGAP,10,3,900,387772,1l-20-30-33.txt,30,20,20,5092.0
G01,LGAP,10,3,900,335845,1l-20-30-33.txt,30,20,12,3928.0
G02,LGAP,10,3,900,351245,1l-20-30-33.txt,30,20,14,4335.0
G03,LGAP,10,3,900,509971,1l-20-30-33.txt,30,20,12,3982.0
FCFS,LGAP,10,3,900,283084,1l-20-30-34.txt,30,20,12,3627.0
RANDOM,LGAP,10,3,900,247512,1l-20-30-34.txt,30,20,9,3180.0
SOP,LGAP,10,3,900,341914,1l-20-30-34.txt,30,20,20,4590.0
G01,LGAP,10,3,900,273444,1l-20-30-34.txt,30,20,9,3132.0
G02,LGAP,10,3,900,287589,1l-20-30-34.txt,30,20,11,3530.0
G03,LGAP,10,3,900,461423,1l-20-30-34.txt,30,20,9,3142.0
FCFS,LGAP,10,3,900,280150,1l-20-30-35.txt,30,20,11,3525.0
RANDOM,LGAP,10,3,900,263981,1l-20-30-35.txt,30,20,10,3314.0
SOP,LGAP,10,3,900,364957,1l-20-30-35.txt,30,20,20,4774.0
G01,LGAP,10,3,900,284028,1l-20-30-35.txt,30,20,9,3220.0
G02,LGAP,10,3,900,307485,1l-20-30-35.txt,30,20,12,3678.0
G03,LGAP,10,3,900,484466,1l-20-30-35.txt,30,20,10,3308.0
FCFS,LGAP,10,3,900,307206,1l-20-30-36.txt,30,20,12,4119.0
RANDOM,LGAP,10,3,900,305255,1l-20-30-36.txt,30,20,12,4029.0
SOP,LGAP,10,3,900,371651,1l-20-30-36.txt,30,20,20,5275.0
G01,LGAP,10,3,900,318982,1l-20-30-36.txt,30,20,11,3826.0
G02,LGAP,10,3,900,346205,1l-20-30-36.txt,30,20,14,4410.0
G03,LGAP,10,3,900,513801,1l-20-30-36.txt,30,20,12,3972.0
FCFS,LGAP,10,3,900,311931,1l-20-30-37.txt,30,20,13,4020.0
RANDOM,LGAP,10,3,900,302416,1l-20-30-37.txt,30,20,11,3652.0
SOP,LGAP,10,3,900,378155,1l-20-30-37.txt,30,20,20,4847.0
G01,LGAP,10,3,900,324039,1l-20-30-37.txt,30,20,10,3464.0
G02,LGAP,10,3,900,342595,1l-20-30-37.txt,30,20,13,3888.0
G03,LGAP,10,3,900,497848,1l-20-30-37.txt,30,20,11,3726.0
FCFS,LGAP,10,3,900,286407,1l-20-30-38.txt,30,20,12,3545.0
RANDOM,LGAP,10,3,900,248817,1l-20-30-38.txt,30,20,9,3032.0
SOP,LGAP,10,3,900,349427,1l-20-30-38.txt,30,20,20,4487.0
G01,LGAP,10,3,900,280554,1l-20-30-38.txt,30,20,9,3090.0
G02,LGAP,10,3,900,292812,1l-20-30-38.txt,30,20,11,3422.0
G03,LGAP,10,3,900,475693,1l-20-30-38.txt,30,20,10,3277.0
FCFS,LGAP,10,3,900,336725,1l-20-30-39.txt,30,20,14,4434.0
RANDOM,LGAP,10,3,900,290017,1l-20-30-39.txt,30,20,11,3912.0
SOP,LGAP,10,3,900,371950,1l-20-30-39.txt,30,20,20,5206.0
G01,LGAP,10,3,900,307488,1l-20-30-39.txt,30,20,10,3664.0
G02,LGAP,10,3,900,338225,1l-20-30-39.txt,30,20,13,4239.0
G03,LGAP,10,3,900,501697,1l-20-30-39.txt,30,20,11,3774.0
FCFS,LGAP,10,3,900,294486,2l-20-45-0.txt,45,20,9,3233.0
RANDOM,LGAP,10,3,900,252272,2l-20-45-0.txt,45,20,7,2896.0
SOP,LGAP,10,3,900,372695,2l-20-45-0.txt,45,20,20,4995.0
G01,LGAP,10,3,900,293273,2l-20-45-0.txt,45,20,7,2958.0
G02,LGAP,10,3,900,288889,2l-20-45-0.txt,45,20,8,2959.0
G03,LGAP,10,3,900,641263,2l-20-45-0.txt,45,20,7,2912.0
FCFS,LGAP,10,3,900,264164,2l-20-45-1.txt,45,20,8,3232.0
RANDOM,LGAP,10,3,900,248743,2l-20-45-1.txt,45,20,7,2992.0
SOP,LGAP,10,3,900,366583,2l-20-45-1.txt,45,20,20,4987.0
G01,LGAP,10,3,900,288862,2l-20-45-1.txt,45,20,7,2834.0
G02,LGAP,10,3,900,285263,2l-20-45-1.txt,45,20,8,3205.0
G03,LGAP,10,3,900,613886,2l-20-45-1.txt,45,20,7,2936.0
FCFS,LGAP,10,3,900,259923,2l-20-45-2.txt,45,20,8,3088.0
RANDOM,LGAP,10,3,900,264317,2l-20-45-2.txt,45,20,7,2904.0
SOP,LGAP,10,3,900,379719,2l-20-45-2.txt,45,20,20,4960.0
G01,LGAP,10,3,900,295333,2l-20-45-2.txt,45,20,7,2903.0
G02,LGAP,10,3,900,277435,2l-20-45-2.txt,45,20,7,2982.0
G03,LGAP,10,3,900,628342,2l-20-45-2.txt,45,20,7,2893.0
FCFS,LGAP,10,3,900,251713,2l-20-45-3.txt,45,20,7,2985.0
RANDOM,LGAP,10,3,900,238816,2l-20-45-3.txt,45,20,7,3009.0
SOP,LGAP,10,3,900,358158,2l-20-45-3.txt,45,20,20,5035.0
G01,LGAP,10,3,900,274954,2l-20-45-3.txt,45,20,7,2903.0
G02,LGAP,10,3,900,267544,2l-20-45-3.txt,45,20,7,3026.0
G03,LGAP,10,3,900,575591,2l-20-45-3.txt,45,20,7,2986.0
FCFS,LGAP,10,3,900,260836,2l-20-45-4.txt,45,20,7,3090.0
RANDOM,LGAP,10,3,900,244528,2l-20-45-4.txt,45,20,7,2910.0
SOP,LGAP,10,3,900,368823,2l-20-45-4.txt,45,20,20,5074.0
G01,LGAP,10,3,900,287919,2l-20-45-4.txt,45,20,7,3060.0
G02,LGAP,10,3,900,281266,2l-20-45-4.txt,45,20,8,3270.0
G03,LGAP,10,3,900,620419,2l-20-45-4.txt,45,20,7,2909.0
FCFS,LGAP,10,3,900,269173,2l-20-45-5.txt,45,20,8,3100.0
RANDOM,LGAP,10,3,900,238810,2l-20-45-5.txt,45,20,7,2783.0
SOP,LGAP,10,3,900,361128,2l-20-45-5.txt,45,20,20,4915.0
G01,LGAP,10,3,900,284647,2l-20-45-5.txt,45,20,7,2724.0
G02,LGAP,10,3,900,279910,2l-20-45-5.txt,45,20,8,3115.0
G03,LGAP,10,3,900,588771,2l-20-45-5.txt,45,20,7,2772.0
FCFS,LGAP,10,3,900,272194,2l-20-45-6.txt,45,20,8,3056.0
RANDOM,LGAP,10,3,900,251827,2l-20-45-6.txt,45,20,7,2696.0
SOP,LGAP,10,3,900,367665,2l-20-45-6.txt,45,20,20,4789.0
G01,LGAP,10,3,900,292081,2l-20-45-6.txt,45,20,7,2790.0
G02,LGAP,10,3,900,302795,2l-20-45-6.txt,45,20,8,2997.0
G03,LGAP,10,3,900,638549,2l-20-45-6.txt,45,20,7,2843.0
FCFS,LGAP,10,3,900,242932,2l-20-45-7.txt,45,20,7,2854.0
RANDOM,LGAP,10,3,900,227246,2l-20-45-7.txt,45,20,6,2680.0
SOP,LGAP,10,3,900,353117,2l-20-45-7.txt,45,20,20,4841.0
G01,LGAP,10,3,900,265644,2l-20-45-7.txt,45,20,6,2674.0
G02,LGAP,10,3,900,256649,2l-20-45-7.txt,45,20,7,2858.0
G03,LGAP,10,3,900,557726,2l-20-45-7.txt,45,20,6,2634.0
FCFS,LGAP,10,3,900,296668,2l-20-45-8.txt,45,20,9,3217.0
RANDOM,LGAP,10,3,900,277143,2l-20-45-8.txt,45,20,8,3243.0
SOP,LGAP,10,3,900,387881,2l-20-45-8.txt,45,20,20,4898.0
G01,LGAP,10,3,900,312418,2l-20-45-8.txt,45,20,7,2913.0
G02,LGAP,10,3,900,331278,2l-20-45-8.txt,45,20,9,3392.0
G03,LGAP,10,3,900,670952,2l-20-45-8.txt,45,20,7,2962.0
FCFS,LGAP,10,3,900,296231,2l-20-45-9.txt,45,20,9,3362.0
RANDOM,LGAP,10,3,900,276300,2l-20-45-9.txt,45,20,8,3139.0
SOP,LGAP,10,3,900,388026,2l-20-45-9.txt,45,20,20,4997.0
G01,LGAP,10,3,900,303401,2l-20-45-9.txt,45,20,7,3005.0
G02,LGAP,10,3,900,314959,2l-20-45-9.txt,45,20,9,3422.0
G03,LGAP,10,3,900,665648,2l-20-45-9.txt,45,20,7,3002.0
FCFS,LGAP,10,3,900,286436,2l-20-45-10.txt,45,20,8,3379.0
RANDOM,LGAP,10,3,900,273397,2l-20-45-10.txt,45,20,8,3366.0
SOP,LGAP,10,3,900,397587,2l-20-45-10.txt,45,20,20,5380.0
G01,LGAP,10,3,900,310205,2l-20-45-10.txt,45,20,7,3183.0
G02,LGAP,10,3,900,321783,2l-20-45-10.txt,45,20,10,3868.0
G03,LGAP,10,3,900,654350,2l-20-45-10.txt,45,20,7,3057.0
FCFS,LGAP,10,3,900,306427,2l-20-45-11.txt,45,20,9,3501.0
RANDOM,LGAP,10,3,900,298674,2l-20-45-11.txt,45,20,9,3568.0
SOP,LGAP,10,3,900,411012,2l-20-45-11.txt,45,20,20,5379.0
G01,LGAP,10,3,900,333405,2l-20-45-11.txt,45,20,8,3300.0
G02,LGAP,10,3,900,328407,2l-20-45-11.txt,45,20,9,3468.0
G03,LGAP,10,3,900,717599,2l-20-45-11.txt,45,20,8,3298.0
FCFS,LGAP,10,3,900,288879,2l-20-45-12.txt,45,20,8,3186.0
RANDOM,LGAP,10,3,900,252062,2l-20-45-12.txt,45,20,7,3012.0
SOP,LGAP,10,3,900,374243,2l-20-45-12.txt,45,20,20,4921.0
G01,LGAP,10,3,900,291609,2l-20-45-12.txt,45,20,7,2924.0
G02,LGAP,10,3,900,287133,2l-20-45-12.txt,45,20,8,3146.0
G03,LGAP,10,3,900,627204,2l-20-45-12.txt,45,20,7,2944.0
FCFS,LGAP,10,3,900,279520,2l-20-45-13.txt,45,20,8,3172.0
RANDOM,LGAP,10,3,900,271002,2l-20-45-13.txt,45,20,8,3104.0
SOP,LGAP,10,3,900,378484,2l-20-45-13.txt,45,20,20,5092.0
G01,LGAP,10,3,900,298417,2l-20-45-13.txt,45,20,7,2872.0
G02,LGAP,10,3,900,297016,2l-20-45-13.txt,45,20,8,3016.0
G03,LGAP,10,3,900,655600,2l-20-45-13.txt,45,20,7,2918.0
FCFS,LGAP,10,3,900,252752,2l-20-45-14.txt,45,20,7,2753.0
RANDOM,LGAP,10,3,900,240791,2l-20-45-14.txt,45,20,7,2792.0
SOP,LGAP,10,3,900,362621,2l-20-45-14.txt,45,20,20,4634.0
G01,LGAP,10,3,900,287680,2l-20-45-14.txt,45,20,7,2662.0
G02,LGAP,10,3,900,269028,2l-20-45-14.txt,45,20,7,2888.0
G03,LGAP,10,3,900,580063,2l-20-45-14.txt,45,20,7,2836.0
FCFS,LGAP,10,3,900,230616,2l-20-45-15.txt,45,20,7,2706.0
RANDOM,LGAP,10,3,900,215297,2l-20-45-15.txt,45,20,6,2539.0
SOP,LGAP,10,3,900,337993,2l-20-45-15.txt,45,20,20,4589.0
G01,LGAP,10,3,900,247925,2l-20-45-15.txt,45,20,6,2430.0
G02,LGAP,10,3,900,233990,2l-20-45-15.txt,45,20,6,2430.0
G03,LGAP,10,3,900,536238,2l-20-45-15.txt,45,20,6,2414.0
FCFS,LGAP,10,3,900,257001,2l-20-45-16.txt,45,20,7,2762.0
