obp_algorithm,prp_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,num_batches,distance,type_experiment
G01,LGAP,10,3,900,917447,1l-20-30-8.txt,30,20,13,4091,WITH_ENCAPSULATION
G02,LGAP,10,3,900,937633,1l-20-30-8.txt,30,20,15,4308,WITH_ENCAPSULATION
G03,LGAP,10,3,900,1079616,1l-20-30-8.txt,30,20,13,4149,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,806729,1l-20-30-9.txt,30,20,14,4562,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,807334,1l-20-30-9.txt,30,20,13,4481,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,977549,1l-20-30-9.txt,30,20,20,5379,WITH_ENCAPSULATION
G01,LGAP,10,3,900,823717,1l-20-30-9.txt,30,20,13,4540,WITH_ENCAPSULATION
G02,LGAP,10,3,900,896236,1l-20-30-9.txt,30,20,15,4842,WITH_ENCAPSULATION
G03,LGAP,10,3,900,1051457,1l-20-30-9.txt,30,20,13,4530,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,808138,1l-20-30-10.txt,30,20,14,3960,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,752751,1l-20-30-10.txt,30,20,13,3830,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,976192,1l-20-30-10.txt,30,20,20,4745,WITH_ENCAPSULATION
G01,LGAP,10,3,900,782697,1l-20-30-10.txt,30,20,12,3779,WITH_ENCAPSULATION
G02,LGAP,10,3,900,870286,1l-20-30-10.txt,30,20,15,4169,WITH_ENCAPSULATION
G03,LGAP,10,3,900,1055610,1l-20-30-10.txt,30,20,13,3836,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,719222,1l-20-30-11.txt,30,20,12,3846,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,604581,1l-20-30-11.txt,30,20,11,3638,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,971068,1l-20-30-11.txt,30,20,20,4871,WITH_ENCAPSULATION
G01,LGAP,10,3,900,642617,1l-20-30-11.txt,30,20,10,3430,WITH_ENCAPSULATION
G02,LGAP,10,3,900,648850,1l-20-30-11.txt,30,20,12,3734,WITH_ENCAPSULATION
G03,LGAP,10,3,900,933535,1l-20-30-11.txt,30,20,11,3621,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,639005,1l-20-30-12.txt,30,20,14,4241,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,589464,1l-20-30-12.txt,30,20,12,3891,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,795002,1l-20-30-12.txt,30,20,20,4901,WITH_ENCAPSULATION
G01,LGAP,10,3,900,610644,1l-20-30-12.txt,30,20,11,3683,WITH_ENCAPSULATION
