obp_algorithm,prp_algorithm,ls_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,before_num_batches,before_distance,after_num_batches,after_distance,type_experiment
RANDOM,LGAP,LS_2x2,10,3,900,6113726,21s-20-30-9.txt,30,20,9,2984,9,2984,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1565142,21s-20-30-10.txt,30,20,10,3185,10,3185,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,459855,21s-20-30-10.txt,30,20,10,3177,10,3145,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,1045223,21s-20-30-10.txt,30,20,10,3143,10,3143,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,7864827,21s-20-30-10.txt,30,20,10,3234,10,3234,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,3357602,21s-20-30-11.txt,30,20,13,4143,13,4143,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,926401,21s-20-30-11.txt,30,20,13,4105,13,4105,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,2571996,21s-20-30-11.txt,30,20,13,4102,13,4102,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,4584774,21s-20-30-11.txt,30,20,13,4102,13,4102,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,2481341,21s-20-30-12.txt,30,20,15,4835,15,4835,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,1035008,21s-20-30-12.txt,30,20,14,4677,14,4677,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,4668606,21s-20-30-12.txt,30,20,14,4618,14,4618,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,4082069,21s-20-30-12.txt,30,20,14,4616,14,4616,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,2230274,21s-20-30-13.txt,30,20,13,4376,13,4376,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,930013,21s-20-30-13.txt,30,20,13,4366,13,4350,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,4089431,21s-20-30-13.txt,30,20,13,4330,13,4330,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,2048645,21s-20-30-13.txt,30,20,13,4424,13,4424,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1275879,21s-20-30-14.txt,30,20,11,3839,11,3839,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,611869,21s-20-30-14.txt,30,20,11,3895,11,3895,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,1540267,21s-20-30-14.txt,30,20,11,3807,11,3807,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,1512739,21s-20-30-14.txt,30,20,12,4059,12,4059,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1259118,21s-20-30-15.txt,30,20,9,2936,9,2936,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,700133,21s-20-30-15.txt,30,20,9,3042,9,2984,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,999719,21s-20-30-15.txt,30,20,9,2972,9,2893,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,2690272,21s-20-30-15.txt,30,20,9,3067,9,2985,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1244279,21s-20-30-16.txt,30,20,12,4085,12,4085,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,495390,21s-20-30-16.txt,30,20,14,4354,14,4354,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,3913770,21s-20-30-16.txt,30,20,14,4384,14,4292,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,4587118,21s-20-30-16.txt,30,20,12,3978,12,3978,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,4593143,21s-20-30-17.txt,30,20,13,4063,13,4063,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,1346537,21s-20-30-17.txt,30,20,13,4045,13,3967,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,4435533,21s-20-30-17.txt,30,20,13,4065,13,4065,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,2514377,21s-20-30-17.txt,30,20,13,4067,13,4067,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1427428,21s-20-30-18.txt,30,20,11,3703,11,3703,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,441726,21s-20-30-18.txt,30,20,11,3843,11,3817,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,2748932,21s-20-30-18.txt,30,20,12,3970,12,3970,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,5352523,21s-20-30-18.txt,30,20,12,3913,12,3913,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1229394,21s-20-30-19.txt,30,20,10,3577,10,3577,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,649458,21s-20-30-19.txt,30,20,11,3689,11,3689,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,1713837,21s-20-30-19.txt,30,20,10,3685,10,3685,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,1730147,21s-20-30-19.txt,30,20,11,3650,11,3650,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,2231592,21s-20-30-20.txt,30,20,15,4792,15,4792,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,1024436,21s-20-30-20.txt,30,20,15,4740,15,4740,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,5092064,21s-20-30-20.txt,30,20,15,4816,15,4816,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,1310172,21s-20-30-20.txt,30,20,15,4754,15,4754,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1584297,21s-20-30-21.txt,30,20,10,3486,10,3486,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,490739,21s-20-30-21.txt,30,20,10,3566,10,3566,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,2640525,21s-20-30-21.txt,30,20,10,3430,10,3430,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,6720110,21s-20-30-21.txt,30,20,10,3455,10,3395,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1256548,21s-20-30-22.txt,30,20,9,3011,9,3011,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,442398,21s-20-30-22.txt,30,20,9,2980,9,2980,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,3129849,21s-20-30-22.txt,30,20,9,3102,9,3102,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,5939308,21s-20-30-22.txt,30,20,9,2909,9,2909,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1284026,21s-20-30-23.txt,30,20,11,3666,11,3666,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,497459,21s-20-30-23.txt,30,20,11,3611,11,3611,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,2409084,21s-20-30-23.txt,30,20,11,3649,11,3649,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,7949410,21s-20-30-23.txt,30,20,11,3543,11,3543,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1713652,21s-20-30-24.txt,30,20,13,4448,13,4448,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,842905,21s-20-30-24.txt,30,20,14,4518,14,4474,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,4383755,21s-20-30-24.txt,30,20,13,4296,13,4296,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,6440245,21s-20-30-24.txt,30,20,12,4207,12,4207,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1349263,21s-20-30-25.txt,30,20,10,3416,10,3416,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,461978,21s-20-30-25.txt,30,20,10,3537,10,3483,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,4250003,21s-20-30-25.txt,30,20,11,3595,11,3481,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,10735668,21s-20-30-25.txt,30,20,10,3469,10,3469,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,1962977,21s-20-30-26.txt,30,20,11,3410,11,3410,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x1,10,3,900,455827,21s-20-30-26.txt,30,20,10,3308,10,3308,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x2,10,3,900,2484832,21s-20-30-26.txt,30,20,10,3286,10,3228,WITH_ENCAPSULATION
RANDOM,LGAP,LS_2x2,10,3,900,3868007,21s-20-30-26.txt,30,20,11,3401,11,3357,WITH_ENCAPSULATION
RANDOM,LGAP,LS_1x0,10,3,900,2826811,21s-20-30-27.txt,30,20,12,3774,12,3710,WITH_ENCAPSULATION
