obp_algorithm,prp_algorithm,ls_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,before_num_batches,before_distance,after_num_batches,after_distance
G01,LGAP,LS_1x1,10,3,900,513428,21s-20-30-4.txt,30,20,9,3161.0,9,3161.0
G01,LGAP,LS_1x2,10,3,900,919162,21s-20-30-4.txt,30,20,9,3161.0,9,3037.0
G01,LGAP,LS_2x2,10,3,900,8641448,21s-20-30-4.txt,30,20,9,3161.0,9,3161.0
G02,LGAP,LS_1x0,10,3,900,4670789,21s-20-30-4.txt,30,20,12,3836.0,12,3836.0
G02,LGAP,LS_1x1,10,3,900,873305,21s-20-30-4.txt,30,20,12,3836.0,12,3763.0
G02,LGAP,LS_1x2,10,3,900,5224116,21s-20-30-4.txt,30,20,12,3836.0,12,3762.0
G02,LGAP,LS_2x2,10,3,900,1550822,21s-20-30-4.txt,30,20,12,3836.0,12,3826.0
G03,LGAP,LS_1x0,10,3,900,1744474,21s-20-30-4.txt,30,20,10,3269.0,10,3269.0
G03,LGAP,LS_1x1,10,3,900,821776,21s-20-30-4.txt,30,20,10,3269.0,10,3269.0
G03,LGAP,LS_1x2,10,3,900,3506389,21s-20-30-4.txt,30,20,10,3269.0,10,3269.0
G03,LGAP,LS_2x2,10,3,900,4840204,21s-20-30-4.txt,30,20,10,3269.0,10,3269.0
G01,LGAP,LS_1x0,10,3,900,2011493,21s-20-30-5.txt,30,20,11,3708.0,11,3708.0
G01,LGAP,LS_1x1,10,3,900,868898,21s-20-30-5.txt,30,20,11,3708.0,11,3708.0
G01,LGAP,LS_1x2,10,3,900,2808539,21s-20-30-5.txt,30,20,11,3708.0,11,3708.0
G01,LGAP,LS_2x2,10,3,900,5283663,21s-20-30-5.txt,30,20,11,3708.0,11,3708.0
G02,LGAP,LS_1x0,10,3,900,7891135,21s-20-30-5.txt,30,20,13,4164.0,13,4164.0
G02,LGAP,LS_1x1,10,3,900,1736393,21s-20-30-5.txt,30,20,13,4164.0,13,4164.0
G02,LGAP,LS_1x2,10,3,900,4569494,21s-20-30-5.txt,30,20,13,4164.0,13,4094.0
G02,LGAP,LS_2x2,10,3,900,911513,21s-20-30-5.txt,30,20,13,4164.0,13,4164.0
G03,LGAP,LS_1x0,10,3,900,3405776,21s-20-30-5.txt,30,20,11,3716.0,11,3716.0
G03,LGAP,LS_1x1,10,3,900,1385461,21s-20-30-5.txt,30,20,11,3716.0,11,3716.0
G03,LGAP,LS_1x2,10,3,900,6488290,21s-20-30-5.txt,30,20,11,3716.0,11,3716.0
G03,LGAP,LS_2x2,10,3,900,5215769,21s-20-30-5.txt,30,20,11,3716.0,11,3716.0
G01,LGAP,LS_1x0,10,3,900,2735296,21s-20-30-6.txt,30,20,13,4177.0,13,4177.0
G01,LGAP,LS_1x1,10,3,900,1367663,21s-20-30-6.txt,30,20,13,4177.0,13,4177.0
G01,LGAP,LS_1x2,10,3,900,5216024,21s-20-30-6.txt,30,20,13,4177.0,13,4177.0
G01,LGAP,LS_2x2,10,3,900,3909355,21s-20-30-6.txt,30,20,13,4177.0,13,4177.0
G02,LGAP,LS_1x0,10,3,900,2577886,21s-20-30-6.txt,30,20,15,4548.0,15,4548.0
G02,LGAP,LS_1x1,10,3,900,1125418,21s-20-30-6.txt,30,20,15,4548.0,15,4548.0
G02,LGAP,LS_1x2,10,3,900,4008425,21s-20-30-6.txt,30,20,15,4548.0,15,4496.0
G02,LGAP,LS_2x2,10,3,900,1413454,21s-20-30-6.txt,30,20,15,4548.0,15,4548.0
G03,LGAP,LS_1x0,10,3,900,2395869,21s-20-30-6.txt,30,20,14,4435.0,14,4435.0
G03,LGAP,LS_1x1,10,3,900,1078055,21s-20-30-6.txt,30,20,14,4435.0,14,4435.0
G03,LGAP,LS_1x2,10,3,900,2966809,21s-20-30-6.txt,30,20,14,4435.0,14,4435.0
G03,LGAP,LS_2x2,10,3,900,2237341,21s-20-30-6.txt,30,20,14,4435.0,14,4435.0
G01,LGAP,LS_1x0,10,3,900,814166,21s-20-30-7.txt,30,20,10,3853.0,10,3853.0
G01,LGAP,LS_1x1,10,3,900,520539,21s-20-30-7.txt,30,20,10,3853.0,10,3853.0
G01,LGAP,LS_1x2,10,3,900,1253592,21s-20-30-7.txt,30,20,10,3853.0,10,3840.0
G01,LGAP,LS_2x2,10,3,900,11338111,21s-20-30-7.txt,30,20,10,3853.0,10,3853.0
